TargetName	S1	S2	S3	S4
A1BG	11	20	17	13
A1CF	10	25	34	25
A2M	19	40	23	34
A2ML1	22	25	16	11
A3GALT2	10	19	9	10
A4GALT	14	19	20	15
A4GNT	13	35	24	12
AAAS	33	39	24	37
AACS	29	58	64	41
AADAC	9	20	15	14
AADACL2	8	12	14	20
AADACL3	17	24	16	14
AADACL4	19	25	16	18
AADAT	25	33	33	24
AAGAB	25	32	52	17
AAK1	34	51	71	40
AAMDC	41	34	17	22
AAMP	98	137	169	107
AANAT	18	26	18	20
AAR2	20	36	34	31
AARD	10	16	25	11
AARS,AARS1	62	47	53	33
AARS2	25	58	33	45
AARSD1	54	57	66	47
AASDH	11	12	14	8
AASDHPPT	70	96	193	65
AASS	58	46	19	53
AATF	30	34	31	23
AATK	11	25	27	17
ABAT	40	34	45	38
ABCA1	54	63	26	23
ABCA10	17	21	15	14
ABCA12	13	19	19	19
ABCA13	16	29	24	17
ABCA2	21	30	58	34
ABCA3	31	59	96	42
ABCA4	20	35	15	23
ABCA5	20	37	47	14
ABCA6	9	16	12	15
ABCA7	10	21	10	14
ABCA8	14	15	15	13
ABCA9	7	23	12	19
ABCB1	16	20	15	10
ABCB10	46	53	66	48
ABCB11	18	24	21	19
ABCB4	9	19	9	13
ABCB5	16	29	22	17
ABCB6	29	32	37	24
ABCB7	37	39	35	36
ABCB8	17	21	21	20
ABCB9	18	50	58	56
ABCC10	17	21	35	10
ABCC11	12	29	15	14
ABCC12	16	20	25	16
ABCC2	12	23	27	10
ABCC3	29	43	30	33
ABCC4	6	10	24	14
ABCC5	63	93	93	89
ABCC6P1,ABCC6,ABCC6P2	10	28	14	16
ABCC8	10	27	49	35
ABCC9	16	37	21	19
ABCD1	28	43	24	28
ABCD2	25	31	22	19
ABCD3	25	35	43	34
ABCD4	16	23	13	14
ABCE1	51	54	48	28
ABCF1	40	40	50	35
ABCF3	27	64	46	28
ABCG1	9	26	13	12
ABCG2	5	16	10	11
ABCG4	14	28	10	12
ABCG5	15	37	17	20
ABCG8	16	28	21	10
ABHD1	6	25	15	6
ABHD10	20	40	26	19
ABHD11	14	17	21	24
ABHD12	26	39	47	40
ABHD12B	15	18	19	13
ABHD13	26	46	28	28
ABHD14A,ABHD14A-ACY1	17	24	56	18
ABHD14B	21	21	25	11
ABHD15	3	13	10	13
ABHD16A	60	104	70	119
ABHD16B	15	13	10	12
ABHD17A	56	61	77	44
ABHD17B	43	45	42	33
ABHD17C	41	49	51	40
ABHD18	43	62	37	31
ABHD2	52	73	101	51
ABHD3	24	36	21	34
ABHD4	21	33	13	26
ABHD5	22	21	32	26
ABHD6	19	29	50	20
ABHD8	31	51	46	42
ABI1	57	71	54	56
ABI2	91	142	248	117
ABI3	13	20	20	15
ABI3BP	8	13	10	10
ABITRAM	56	67	70	68
ABL1	88	100	64	84
ABL2	36	43	71	29
ABLIM2	25	22	39	16
ABLIM3	10	22	14	14
ABO	16	21	16	23
ABR	45	65	119	54
ABRA	6	15	11	9
ABRACL	45	77	79	50
ABRAXAS1	30	37	26	19
ABRAXAS2	33	31	30	31
ABT1	17	34	23	18
ABTB1	47	45	28	26
ABTB2	18	45	20	29
ACAA1	39	67	56	64
ACAA2	51	41	33	53
ACACA	39	36	88	50
ACACB	16	24	15	16
ACAD10	37	60	45	43
ACAD11,NPHP3-ACAD11	22	27	36	9
ACAD8	35	34	36	42
ACAD9	2	1	1	1
ACADL	17	37	16	20
ACADM	81	66	68	59
ACADS	23	36	38	22
ACADSB	27	44	29	31
ACADVL	119	137	149	87
ACAN	12	20	14	11
ACAP1,KCTD11	26	34	21	31
ACAP2	41	54	59	40
ACAP3	36	70	68	55
ACAT1	32	67	111	38
ACAT2	61	87	110	61
ACBD3	44	64	60	35
ACBD4	9	27	17	9
ACBD5	64	78	50	61
ACBD6	68	100	65	65
ACBD7	46	29	17	23
ACCS	12	13	15	11
ACCSL	13	20	16	13
ACD	26	34	39	28
ACE	6	32	22	13
ACE2	17	14	24	10
ACER1	12	25	19	16
ACER2	18	31	23	29
ACER3	14	24	21	18
ACHE	17	28	36	27
ACIN1	131	134	102	108
ACKR1	10	8	5	9
ACKR2	16	23	24	12
ACKR3	24	37	14	16
ACKR4	2	6	3	7
ACLY	56	70	85	55
ACMSD	9	22	15	12
ACO1	28	28	28	20
ACO2	42	59	40	24
ACOD1	17	33	20	16
ACOT1	15	35	29	17
ACOT11	26	30	37	27
ACOT12	12	27	22	13
ACOT13	26	40	21	16
ACOT2	25	41	44	46
ACOT4	13	52	24	12
ACOT6	12	16	16	16
ACOT7	36	39	104	36
ACOT8	29	46	42	42
ACOT9	17	17	28	21
ACOX1	36	60	54	38
ACOX2	16	35	16	13
ACOX3	30	34	41	22
ACOXL	11	21	14	12
ACP1	63	100	92	71
ACP2	25	32	23	30
ACP4	9	20	20	15
ACP5	11	26	25	11
ACP6	26	54	28	42
ACP7	17	22	17	17
ACR	15	19	16	17
ACRBP	18	25	14	20
ACRV1	18	31	30	19
ACSBG1,IDH3A	19	18	15	13
ACSBG2	10	16	15	15
ACSF2	22	24	17	15
ACSF3	17	18	27	18
ACSL1	9	12	27	6
ACSL3	39	59	85	24
ACSL4	30	42	102	26
ACSL5	16	20	21	13
ACSL6	21	19	32	9
ACSM1	12	19	10	12
ACSM2A,ACSM2B	23	27	18	12
ACSM3	18	21	29	15
ACSM4	12	18	14	10
ACSM5	13	11	6	10
ACSM6	12	29	19	14
ACSS1	71	44	18	29
ACSS2	23	42	33	20
ACSS3	15	30	20	28
ACTA1	14	24	8	6
ACTA2	26	44	30	28
ACTC1	18	34	21	20
ACTG2	17	22	20	19
ACTL10	12	26	19	19
ACTL6A	71	56	30	57
ACTL6B	25	47	76	40
ACTL7A	14	27	10	17
ACTL8	66	98	95	77
ACTL9	19	29	17	25
ACTN1	28	55	22	27
ACTN2	24	21	102	15
ACTN3	12	16	15	17
ACTN4	58	105	77	77
ACTR10	68	96	137	64
ACTR1A	50	51	128	48
ACTR1B	21	33	37	27
ACTR2	153	156	180	169
ACTR3	97	118	164	104
ACTR3B,ACTR3C	38	101	105	65
ACTR5	23	20	21	17
ACTR6	58	66	46	53
ACTR8	33	77	61	56
ACTRT1	24	29	16	18
ACTRT2	26	30	20	28
ACTRT3	12	22	13	9
ACVR1	51	60	59	45
ACVR1B	62	91	136	77
ACVR1C	8	18	23	9
ACVR2A	36	53	119	47
ACVR2B	55	51	42	43
ACVRL1	14	25	15	14
ACY1,ABHD14A-ACY1	27	43	32	29
ACY3	23	27	14	24
ACYP1	23	40	25	15
ACYP2	15	33	24	23
ADA	18	29	21	23
ADA2	34	65	22	34
ADAD1	17	22	13	10
ADAD2	9	32	22	14
ADAL	24	31	32	19
ADAM10	39	42	62	33
ADAM11	19	23	49	16
ADAM12	21	20	22	17
ADAM15	435	286	413	290
ADAM17	29	50	30	36
ADAM18	13	31	14	13
ADAM19	21	38	39	14
ADAM2	1	1	1	1
ADAM21	12	17	9	10
ADAM22	43	79	76	36
ADAM23	19	27	67	26
ADAM28	7	23	20	13
ADAM29	9	17	12	15
ADAM30	19	26	25	23
ADAM32	26	41	27	23
ADAM33	12	26	12	27
ADAM7	13	13	16	5
ADAM8	11	19	12	11
ADAM9	45	54	30	38
ADAMDEC1	17	26	11	15
ADAMTS1	20	30	14	14
ADAMTS10	45	52	69	38
ADAMTS12	19	24	15	16
ADAMTS13	95	112	128	112
ADAMTS14	18	15	11	14
ADAMTS16	16	20	18	11
ADAMTS18	16	38	17	17
ADAMTS19	20	25	17	13
ADAMTS2	14	28	20	10
ADAMTS20	9	25	18	13
ADAMTS3	15	21	33	14
ADAMTS4	10	22	12	10
ADAMTS5	19	48	15	12
ADAMTS6	15	13	11	7
ADAMTS7	23	38	48	29
ADAMTS8	16	21	10	19
ADAMTS9	3	10	13	9
ADAMTSL1	13	29	18	12
ADAMTSL2	6	12	5	10
ADAMTSL3	13	27	49	10
ADAMTSL4	12	12	15	3
ADAMTSL5	25	34	25	20
ADAP1	16	34	59	24
ADAP2	14	22	19	19
ADARB1	36	42	40	29
ADARB2	12	20	5	12
ADAT1	28	24	47	29
ADAT2	20	15	15	11
ADAT3	76	60	81	54
ADCK1	19	32	28	25
ADCK2	31	50	70	28
ADCK5	27	31	32	34
ADCY1	20	36	350	20
ADCY10	10	33	27	17
ADCY2	33	49	51	39
ADCY3	31	32	44	30
ADCY4	14	24	22	16
ADCY5	5	14	10	3
ADCY6	62	89	66	61
ADCY7	14	16	11	8
ADCY8	9	28	35	9
ADCY9	20	27	32	11
ADCYAP1	11	19	37	18
ADCYAP1R1	33	26	80	34
ADD1	119	135	123	103
ADD3	58	43	33	32
ADGB	9	28	26	11
ADGRA1	29	31	20	41
ADGRA2	11	14	17	10
ADGRA3	123	99	50	91
ADGRB1	25	36	128	35
ADGRB2	24	35	92	38
ADGRB3	65	51	78	60
ADGRD1	9	19	15	9
ADGRD2	26	36	25	18
ADGRE1	7	9	3	6
ADGRE2,ADGRE3	19	32	19	19
ADGRE5	14	15	12	10
ADGRF1	14	22	18	15
ADGRF2	18	26	22	19
ADGRF3	16	16	19	12
ADGRF4	12	22	17	18
ADGRF5	18	17	23	20
ADGRG1	107	103	48	91
ADGRG2	19	30	34	15
ADGRG4	11	29	25	9
ADGRG5	10	25	17	15
ADGRG6	17	46	36	38
ADGRG7	12	23	12	18
ADGRL1	40	86	197	61
ADGRL2	41	66	78	64
ADGRL3	62	56	176	40
ADGRL4	15	18	17	18
ADGRV1	226	128	14	138
ADH1B,ADH1C,ADH1A	32	22	30	10
ADH4	12	28	24	14
ADH5	127	142	101	116
ADH6	16	36	27	19
ADH7	15	34	23	11
ADHFE1	23	42	23	48
ADI1	32	34	39	41
ADIG	14	18	23	23
ADIPOQ-AS1,ADIPOQ	16	21	20	22
ADIPOR1	13	29	44	18
ADIPOR2	43	38	52	37
ADIRF	20	27	25	25
ADK	51	42	38	24
ADM	11	34	19	20
ADM2	10	16	17	17
ADM5	15	10	13	17
ADNP	43	58	61	61
ADNP2	28	37	35	15
ADO	21	39	38	19
ADORA1	23	23	42	20
ADORA2B	20	23	19	16
ADORA3	15	26	20	18
ADPGK	19	43	27	28
ADPRH	26	35	24	31
ADPRHL1	12	18	28	13
ADPRHL2	137	167	172	116
ADPRM	28	26	38	29
ADRA1A	16	34	14	17
ADRA1B	24	33	27	25
ADRA1D	14	38	25	19
ADRA2A	28	47	80	40
ADRA2B	18	29	25	22
ADRA2C	13	17	29	21
ADRB1	6	16	19	19
ADRB2	11	18	24	21
ADRB3	15	23	12	24
ADRM1	36	63	65	46
ADSL	24	33	31	28
ADSS2,ADSS	49	59	76	54
ADSSL1,ADSS1	25	30	18	14
ADTRP	8	22	21	16
AEBP1	24	56	41	39
AEBP2	37	66	36	38
AEN	26	40	17	32
AFAP1	57	88	93	39
AFAP1L1	6	25	25	18
AFAP1L2	24	30	33	24
AFDN	179	211	153	202
AFF1	32	59	32	30
AFF2	10	18	16	5
AFF3	50	75	164	52
AFF4	81	110	76	63
AFG1L	28	32	14	14
AFG3L2	58	67	69	33
AFM	14	12	22	11
AFMID	20	29	25	23
AFP	17	25	15	17
AFTPH	34	51	61	36
AGA	20	32	17	19
AGAP1	106	93	164	98
AGAP2	22	33	199	36
AGAP3	49	71	148	68
AGAP7P,AGAP10P,TIMM23B-AGAP6,AGAP5,BMS1P2-AGAP9,AGAP6,BMS1P4-AGAP5,AGAP4,AGAP12P,LOC107984026,PARGP1-AGAP4,AGAP9	71	98	95	58
AGBL1	32	35	18	16
AGBL2	15	16	10	14
AGBL3	23	38	23	13
AGBL4	10	27	14	9
AGBL5	32	52	46	37
AGER	17	33	23	26
AGFG1	44	51	72	32
AGFG2	19	28	22	12
AGGF1	31	40	41	25
AGK,DENND11,KIAA1147	35	59	40	50
AGL	30	39	37	32
AGMAT	23	23	18	11
AGMO	13	25	15	17
AGO1	63	93	57	103
AGO2	71	60	65	39
AGO3	44	51	31	46
AGO4	48	62	97	57
AGPAT1	68	90	115	76
AGPAT2	9	9	16	10
AGPAT3	23	35	45	24
AGPAT4	29	59	59	37
AGPAT5	53	71	69	46
AGPS	50	64	75	55
AGR2	17	21	11	8
AGR3	15	29	22	14
AGRN	53	92	76	64
